app_id,due_date,paid_date,due_amount,paid_amount,monthly_income,housing_type,num_of_dependent,lama_bekerja,otr,status_pernikahan,pekerjaan,tenor,dp
55,2018-05-05,2018-05-05,Rp0.0,Rp6200000.0,Rp3500000.0,milik sendiri,0 orang,0 tahun,Rp400000000.0,Belum Nikah,Wiraswasta,36,Rp176800000.0
56,2018-06-05,2018-06-05,Rp0.0,Rp6200000.0,Rp3500000.0,milik sendiri,0 orang,0 tahun,Rp400000000.0,Belum Nikah,Wiraswasta,36,Rp176800000.0
57,2018-01-30,2018-01-29,Rp0.0,Rp10700000.0,Rp3176700.0,milik sendiri,0 orang,0 tahun,Rp100000000.0,Belum Nikah,Karyawan Swasta,12,Rp0.0
58,2018-02-02,2018-02-02,Rp0.0,Rp8160000.0,Rp4725000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp310400000.0
59,2018-03-02,2018-03-02,Rp0.0,Rp8400000.0,Rp4725000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp296000000.0
60,2018-04-02,2018-04-02,Rp0.0,Rp8400000.0,Rp4725000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp296000000.0
61,2018-05-02,2018-05-10,Rp0.0,Rp8950000.0,Rp4725000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp263000000.0
62,2018-06-02,2018-06-04,Rp0.0,Rp8400000.0,Rp4725000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp296000000.0
63,2018-02-05,2018-02-05,Rp0.0,Rp5900000.0,Rp8000000.0,milik sendiri,0 orang,1 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp446000000.0
64,2018-03-05,2018-03-05,Rp0.0,Rp6000000.0,Rp8000000.0,milik sendiri,0 orang,1 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp440000000.0
65,2018-04-05,2018-04-05,Rp0.0,Rp6000000.0,Rp8000000.0,milik sendiri,0 orang,1 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp440000000.0
66,2018-05-05,2018-05-06,Rp0.0,Rp6000000.0,Rp8000000.0,milik sendiri,0 orang,1 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp440000000.0
67,2018-06-05,2018-05-23,Rp0.0,Rp6000000.0,Rp8000000.0,milik sendiri,0 orang,1 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp440000000.0
68,2018-01-29,2018-01-27,Rp0.0,Rp10800000.0,Rp3715919.0,milik sendiri,0 orang,0 tahun,Rp100000000.0,Belum Nikah,Karyawan Swasta,12,Rp0.0
69,2018-01-31,2018-01-27,Rp0.0,Rp10700000.0,Rp7904915.0,milik sendiri,0 orang,4 tahun,Rp100000000.0,Nikah,Wiraswasta,12,Rp0.0
70,2018-04-23,2018-04-20,Rp0.0,Rp8700000.0,Rp5526087.0,milik sendiri,0 orang,0 tahun,Rp500000000.0,Nikah,Wiraswasta,36,Rp186800000.0
71,2018-02-23,2018-02-22,Rp0.0,Rp9260000.0,Rp5526087.0,milik sendiri,0 orang,0 tahun,Rp500000000.0,Nikah,Wiraswasta,36,Rp166640000.0
72,2018-03-23,2018-03-14,Rp0.0,Rp8700000.0,Rp5526087.0,milik sendiri,0 orang,0 tahun,Rp500000000.0,Nikah,Wiraswasta,36,Rp186800000.0
73,2018-05-23,2018-04-20,Rp0.0,Rp8700000.0,Rp5526087.0,milik sendiri,0 orang,0 tahun,Rp500000000.0,Nikah,Wiraswasta,36,Rp186800000.0
74,2018-02-01,2018-01-29,Rp0.0,Rp10800000.0,Rp4315161.0,milik orang tua,1 orang,1 tahun,Rp100000000.0,Nikah,Wiraswasta,12,Rp0.0
75,2018-02-05,2018-02-01,Rp0.0,Rp10800000.0,Rp3150000.0,milik pasangan,0 orang,0 tahun,Rp100000000.0,Belum Nikah,Profesional,12,Rp0.0
76,2018-04-05,2018-04-04,Rp0.0,Rp5160000.0,Rp4226560.0,milik sendiri,5 orang,0 tahun,Rp250000000.0,Belum Nikah,Profesional,24,Rp126160000.0
77,2018-02-05,2018-01-26,Rp0.0,Rp4960000.0,Rp4226560.0,milik sendiri,5 orang,0 tahun,Rp250000000.0,Belum Nikah,Profesional,24,Rp130960000.0
78,2018-03-05,2018-03-04,Rp0.0,Rp5160000.0,Rp4226560.0,milik sendiri,5 orang,0 tahun,Rp250000000.0,Belum Nikah,Profesional,24,Rp126160000.0
79,2018-07-05,2018-06-30,Rp0.0,Rp5160000.0,Rp4226560.0,milik sendiri,5 orang,0 tahun,Rp250000000.0,Belum Nikah,Profesional,24,Rp126160000.0
80,2018-05-05,2018-05-04,Rp0.0,Rp5160000.0,Rp4226560.0,milik sendiri,5 orang,0 tahun,Rp250000000.0,Belum Nikah,Profesional,24,Rp126160000.0
81,2018-06-05,2018-06-04,Rp0.0,Rp5160000.0,Rp4226560.0,milik sendiri,5 orang,0 tahun,Rp250000000.0,Belum Nikah,Profesional,24,Rp126160000.0
82,2018-02-26,2018-01-25,Rp0.0,Rp4390000.0,Rp3848260.0,kos,2 orang,0 tahun,Rp500000000.0,Nikah,Karyawan Swasta,36,Rp341960000.0
83,2018-07-26,2018-07-25,Rp0.0,Rp4130000.0,Rp3848260.0,kos,2 orang,0 tahun,Rp500000000.0,Nikah,Karyawan Swasta,36,Rp351320000.0
84,2018-03-26,2018-03-30,Rp0.0,Rp4130000.0,Rp3848260.0,kos,2 orang,0 tahun,Rp500000000.0,Nikah,Karyawan Swasta,36,Rp351320000.0
85,2018-04-26,2018-04-26,Rp0.0,Rp4130000.0,Rp3848260.0,kos,2 orang,0 tahun,Rp500000000.0,Nikah,Karyawan Swasta,36,Rp351320000.0
86,2018-05-26,2018-05-25,Rp0.0,Rp4130000.0,Rp3848260.0,kos,2 orang,0 tahun,Rp500000000.0,Nikah,Karyawan Swasta,36,Rp351320000.0
87,2018-06-26,2018-06-26,Rp0.0,Rp4130000.0,Rp3848260.0,kos,2 orang,0 tahun,Rp500000000.0,Nikah,Karyawan Swasta,36,Rp351320000.0
88,2018-03-02,2018-03-01,Rp0.0,Rp10900000.0,Rp9036387.0,milik sendiri,0 orang,0 tahun,Rp300000000.0,Nikah,Profesional,24,Rp38400000.0
89,2018-04-02,2018-03-28,Rp0.0,Rp10900000.0,Rp9036387.0,milik sendiri,0 orang,0 tahun,Rp300000000.0,Nikah,Profesional,24,Rp38400000.0
90,2018-02-02,2018-01-26,Rp0.0,Rp10750000.0,Rp9036387.0,milik sendiri,0 orang,0 tahun,Rp300000000.0,Nikah,Profesional,24,Rp42000000.0
91,2018-07-05,2018-06-06,Rp0.0,Rp5160000.0,Rp3477132.0,milik sendiri,4 orang,0 tahun,Rp450000000.0,Belum Nikah,Wiraswasta,36,Rp264240000.0
92,2018-02-05,2018-02-05,Rp0.0,Rp5030000.0,Rp3477132.0,milik sendiri,4 orang,0 tahun,Rp450000000.0,Belum Nikah,Wiraswasta,36,Rp268920000.0
93,2018-03-05,2018-03-05,Rp0.0,Rp5160000.0,Rp3477132.0,milik sendiri,4 orang,0 tahun,Rp450000000.0,Belum Nikah,Wiraswasta,36,Rp264240000.0
94,2018-04-05,2018-04-06,Rp0.0,Rp5160000.0,Rp3477132.0,milik sendiri,4 orang,0 tahun,Rp450000000.0,Belum Nikah,Wiraswasta,36,Rp264240000.0
95,2018-05-05,2018-05-05,Rp0.0,Rp5160000.0,Rp3477132.0,milik sendiri,4 orang,0 tahun,Rp450000000.0,Belum Nikah,Wiraswasta,36,Rp264240000.0
96,2018-06-05,2018-05-31,Rp0.0,Rp5160000.0,Rp3477132.0,milik sendiri,4 orang,0 tahun,Rp450000000.0,Belum Nikah,Wiraswasta,36,Rp264240000.0
97,2018-02-05,2018-02-05,Rp0.0,Rp10800000.0,Rp3294732.0,kos,0 orang,0 tahun,Rp100000000.0,Belum Nikah,Profesional,12,Rp0.0
98,2018-01-31,2018-01-29,Rp0.0,Rp10660000.0,Rp3000000.0,milik sendiri,0 orang,0 tahun,Rp100000000.0,Belum Nikah,Karyawan Swasta,12,Rp0.0
99,2018-04-12,2018-04-11,Rp0.0,Rp4130000.0,Rp3585078.0,milik sendiri,1 orang,1 tahun,Rp500000000.0,Belum Nikah,Wiraswasta,36,Rp351320000.0
100,2018-05-12,2018-05-11,Rp0.0,Rp4130000.0,Rp3585078.0,milik sendiri,1 orang,1 tahun,Rp500000000.0,Belum Nikah,Wiraswasta,36,Rp351320000.0
101,2018-06-12,2018-06-13,Rp0.0,Rp4130000.0,Rp3585078.0,milik sendiri,1 orang,1 tahun,Rp500000000.0,Belum Nikah,Wiraswasta,36,Rp351320000.0
102,2018-07-12,2018-06-23,Rp0.0,Rp4130000.0,Rp3585078.0,milik sendiri,1 orang,1 tahun,Rp500000000.0,Belum Nikah,Wiraswasta,36,Rp351320000.0
103,2018-02-12,2018-02-09,Rp0.0,Rp4260000.0,Rp3585078.0,milik sendiri,1 orang,1 tahun,Rp500000000.0,Belum Nikah,Wiraswasta,36,Rp346640000.0
104,2018-03-12,2018-03-10,Rp0.0,Rp4130000.0,Rp3585078.0,milik sendiri,1 orang,1 tahun,Rp500000000.0,Belum Nikah,Wiraswasta,36,Rp351320000.0
105,2018-02-02,2018-01-28,Rp0.0,Rp10730000.0,Rp3207255.0,milik sendiri,0 orang,0 tahun,Rp100000000.0,Nikah,Karyawan Swasta,12,Rp0.0
106,2018-03-01,2018-03-01,Rp0.0,Rp8900000.0,Rp3187040.0,milik sendiri,2 orang,0 tahun,Rp500000000.0,Nikah,Wiraswasta,36,Rp179600000.0
107,2018-07-01,2018-06-29,Rp0.0,Rp8260000.0,Rp3187040.0,milik sendiri,2 orang,0 tahun,Rp500000000.0,Nikah,Wiraswasta,36,Rp202640000.0
108,2018-04-01,2018-03-28,Rp0.0,Rp8260000.0,Rp3187040.0,milik sendiri,2 orang,0 tahun,Rp500000000.0,Nikah,Wiraswasta,36,Rp202640000.0
109,2018-05-01,2018-04-30,Rp0.0,Rp8260000.0,Rp3187040.0,milik sendiri,2 orang,0 tahun,Rp500000000.0,Nikah,Wiraswasta,36,Rp202640000.0
110,2018-06-01,2018-05-31,Rp0.0,Rp8260000.0,Rp3187040.0,milik sendiri,2 orang,0 tahun,Rp500000000.0,Nikah,Wiraswasta,36,Rp202640000.0
111,2018-08-01,2018-07-30,Rp0.0,Rp8260000.0,Rp3187040.0,milik sendiri,2 orang,0 tahun,Rp500000000.0,Nikah,Wiraswasta,36,Rp202640000.0
112,2018-02-05,2018-01-26,Rp0.0,Rp10800000.0,Rp3500000.0,milik sendiri,1 orang,0 tahun,Rp100000000.0,Belum Nikah,Wiraswasta,12,Rp0.0
113,2018-03-01,2018-03-01,Rp0.0,Rp11360000.0,Rp5350000.0,milik sendiri,3 orang,0 tahun,Rp100000000.0,Belum Nikah,Wiraswasta,12,Rp0.0
114,2018-02-28,2018-02-27,Rp0.0,Rp7760000.0,Rp5502065.0,milik pasangan,1 orang,1 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp334400000.0
115,2018-04-28,2018-04-27,Rp0.0,Rp7200000.0,Rp5502065.0,milik pasangan,1 orang,1 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp368000000.0
116,2018-05-28,2018-04-27,Rp0.0,Rp7200000.0,Rp5502065.0,milik pasangan,1 orang,1 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp368000000.0
117,2018-06-28,2018-06-26,Rp0.0,Rp7200000.0,Rp5502065.0,milik pasangan,1 orang,1 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp368000000.0
118,2018-03-28,2018-03-27,Rp0.0,Rp7200000.0,Rp5502065.0,milik pasangan,1 orang,1 tahun,Rp800000000.0,Belum Nikah,Profesional,60,Rp368000000.0
119,2018-02-27,2018-02-26,Rp0.0,Rp11330000.0,Rp4365000.0,milik pasangan,0 orang,1 tahun,Rp100000000.0,Nikah,Profesional,12,Rp0.0
120,2018-05-05,2018-05-03,Rp0.0,Rp6200000.0,Rp4750500.0,milik sendiri,0 orang,1 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp276800000.0
121,2018-03-05,2018-03-04,Rp0.0,Rp6200000.0,Rp4750500.0,milik sendiri,0 orang,1 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp276800000.0
122,2018-04-05,2018-04-04,Rp0.0,Rp6200000.0,Rp4750500.0,milik sendiri,0 orang,1 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp276800000.0
123,2018-06-05,2018-06-05,Rp0.0,Rp6200000.0,Rp4750500.0,milik sendiri,0 orang,1 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp276800000.0
124,2018-02-05,2018-02-05,Rp0.0,Rp5960000.0,Rp4750500.0,milik sendiri,0 orang,1 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp285440000.0
125,2018-07-05,2018-06-26,Rp0.0,Rp6200000.0,Rp4750500.0,milik sendiri,0 orang,1 tahun,Rp500000000.0,Belum Nikah,Profesional,36,Rp276800000.0
126,2018-03-06,2018-03-05,Rp0.0,Rp11400000.0,Rp3866000.0,kos,0 orang,0 tahun,Rp100000000.0,Nikah,Wiraswasta,12,Rp0.0
127,2018-02-05,2018-01-31,Rp0.0,Rp10700000.0,Rp7801080.0,milik sendiri,0 orang,0 tahun,Rp100000000.0,Nikah,Profesional,12,Rp0.0
128,2018-02-07,2018-02-03,Rp0.0,Rp8560000.0,Rp2661000.0,milik sendiri,4 orang,0 tahun,Rp100000000.0,Nikah,Profesional,12,Rp0.0
129,2018-03-01,2018-01-31,Rp0.0,Rp11430000.0,Rp5202332.0,milik orang tua,1 orang,0 tahun,Rp100000000.0,Nikah,Wiraswasta,12,Rp0.0
130,2018-05-01,2018-05-01,Rp0.0,Rp4800000.0,Rp3287900.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp142400000.0
131,2018-03-01,2018-03-01,Rp0.0,Rp5090000.0,Rp3287900.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp138920000.0
132,2018-04-01,2018-04-01,Rp0.0,Rp4800000.0,Rp3287900.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp142400000.0
133,2018-06-01,2018-06-01,Rp0.0,Rp4800000.0,Rp3287900.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp142400000.0
134,2018-07-01,2018-06-30,Rp0.0,Rp4800000.0,Rp3287900.0,kos,0 orang,0 tahun,Rp200000000.0,Nikah,Wiraswasta,12,Rp142400000.0
135,2018-02-05,2018-02-05,Rp0.0,Rp9600000.0,Rp3387500.0,milik sendiri,1 orang,0 tahun,Rp100000000.0,Nikah,Karyawan Swasta,12,Rp0.0
136,2018-02-27,2018-02-09,Rp0.0,Rp11430000.0,Rp9800000.0,milik orang tua,0 orang,1 tahun,Rp100000000.0,Nikah,Profesional,12,Rp0.0
137,2018-04-02,2018-03-28,Rp0.0,Rp5800000.0,Rp4126748.0,milik sendiri,4 orang,2 tahun,Rp200000000.0,Nikah,Profesional,12,Rp130400000.0
138,2018-02-02,2018-01-29,Rp0.0,Rp5480000.0,Rp4126748.0,milik sendiri,4 orang,2 tahun,Rp200000000.0,Nikah,Profesional,12,Rp134240000.0
139,2018-05-02,2018-04-27,Rp0.0,Rp5800000.0,Rp4126748.0,milik sendiri,4 orang,2 tahun,Rp200000000.0,Nikah,Profesional,12,Rp130400000.0
140,2018-03-02,2018-02-28,Rp0.0,Rp5800000.0,Rp4126748.0,milik sendiri,4 orang,2 tahun,Rp200000000.0,Nikah,Profesional,12,Rp130400000.0
141,2018-03-01,2018-01-26,Rp0.0,Rp11500000.0,Rp3020169.0,milik sendiri,0 orang,0 tahun,Rp100000000.0,Nikah,Profesional,12,Rp0.0
142,2018-03-01,2018-02-28,Rp0.0,Rp11500000.0,Rp4053500.0,milik sendiri,4 orang,0 tahun,Rp100000000.0,Nikah,Profesional,12,Rp0.0
143,2018-07-05,2018-05-04,Rp0.0,Rp6200000.0,Rp5000000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp428000000.0
144,2018-02-05,2018-02-04,Rp0.0,Rp5800000.0,Rp5000000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp452000000.0
145,2018-03-05,2018-03-05,Rp0.0,Rp6200000.0,Rp5000000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp428000000.0
146,2018-04-05,2018-04-06,Rp0.0,Rp6200000.0,Rp5000000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp428000000.0
147,2018-05-05,2018-05-03,Rp0.0,Rp6200000.0,Rp5000000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp428000000.0
148,2018-06-05,2018-05-04,Rp0.0,Rp6200000.0,Rp5000000.0,milik sendiri,0 orang,0 tahun,Rp800000000.0,Belum Nikah,Wiraswasta,60,Rp428000000.0
149,2018-02-12,2018-02-10,Rp0.0,Rp8100000.0,Rp4853810.0,milik sendiri,1 orang,0 tahun,Rp400000000.0,Nikah,Profesional,36,Rp108400000.0
150,2018-04-12,2018-04-10,Rp0.0,Rp8260000.0,Rp4853810.0,milik sendiri,1 orang,0 tahun,Rp400000000.0,Nikah,Profesional,36,Rp102640000.0
151,2018-03-12,2018-03-09,Rp0.0,Rp8260000.0,Rp4853810.0,milik sendiri,1 orang,0 tahun,Rp400000000.0,Nikah,Profesional,36,Rp102640000.0
152,2018-06-12,2018-06-04,Rp0.0,Rp8260000.0,Rp4853810.0,milik sendiri,1 orang,0 tahun,Rp400000000.0,Nikah,Profesional,36,Rp102640000.0
